company,ticker,year,AccountsReceivableNetCurrent,Assets,CashAndCashEquivalentsAtCarryingValue,InventoryNet,Liabilities,NetIncomeLoss,Revenues,roa,roa_change,leverage,cash_to_assets,asset_growth,cash_profit_ratio,income_change,dsri,rev_growth,recv_growth,rev_recv_divergence,leverage_change,accruals
3M CO,MMM,2008,3195000000.0,25793000000.0,1849000000.0,3013000000.0,15489000000.0,3460000000.0,,0.13414492304113518,0.0009191914784754049,0.6005117667584229,0.07168611638816733,0.05606823577699203,0.534393063583815,0.10172088812950363,1.0087130985874846,0.06418011707319483,0.07509665906612471,0.009054099836757673,-0.0014369669271911967,0.06245880665296786
3M CO,MMM,2009,3250000000.0,27250000000.0,3040000000.0,2639000000.0,13948000000.0,3193000000.0,,0.1171743119266055,-0.016970611114529674,0.5118532110091744,0.11155963302752293,0.0564881944713682,0.9520826808643909,-0.07716763005780347,1.0087130985874846,0.06418011707319483,0.017214397496087636,0.009054099836757673,-0.08865855574924852,0.0056146788990825685
3M CO,MMM,2010,3615000000.0,30156000000.0,3377000000.0,3155000000.0,14139000000.0,4085000000.0,,0.1354622628995888,0.01828795097298329,0.4688619180262634,0.11198434805677146,0.10664220183486238,0.8266829865361077,0.27936110241152523,1.0087130985874846,0.06418011707319483,0.1123076923076923,0.009054099836757673,-0.042991292982910934,0.02347791484281735
3M CO,MMM,2011,3867000000.0,31616000000.0,2219000000.0,3416000000.0,15754000000.0,4283000000.0,,0.13546938259109312,7.119691504325898e-06,0.498292004048583,0.07018598178137651,0.04841490913914312,0.5180947933691338,0.048470012239902084,1.0087130985874846,0.06418011707319483,0.06970954356846473,0.009054099836757673,0.029430086022319557,0.0652834008097166
3M CO,MMM,2012,4061000000.0,33876000000.0,2883000000.0,3837000000.0,15836000000.0,4444000000.0,,0.13118431928208762,-0.0042850633090054935,0.4674695949935057,0.08510449876018421,0.0714827935222672,0.6487398739873987,0.03759047396684567,1.0087130985874846,0.06418011707319483,0.05016808895784846,0.009054099836757673,-0.03082240905507727,0.04607982052190341
3M CO,MMM,2013,4253000000.0,33304000000.0,2581000000.0,3864000000.0,15602000000.0,4659000000.0,,0.13989310593322124,0.008708786651133615,0.46847225558491473,0.07749819841460485,-0.01688511040264494,0.553981541103241,0.04837983798379838,1.0087130985874846,0.06418011707319483,0.047278995321349424,0.009054099836757673,0.0010026605914090214,0.062394907518616385
3M CO,MMM,2014,4238000000.0,31374000000.0,1897000000.0,3706000000.0,18067000000.0,4956000000.0,,0.15796519410977242,0.018072088176551176,0.5758589915216421,0.06046407853636769,-0.057950996877251984,0.3827683615819209,0.06374758531873792,1.0087130985874846,0.06418011707319483,-0.003526922172584058,0.009054099836757673,0.10738673593672737,0.09750111557340473
3M CO,MMM,2015,4154000000.0,32883000000.0,1798000000.0,3518000000.0,21415000000.0,4833000000.0,,0.1469756409086762,-0.010989553201096208,0.6512483654167807,0.054678709363500895,0.04809715050678906,0.3720256569418581,-0.024818401937046004,1.0087130985874846,0.06418011707319483,-0.019820670127418595,0.009054099836757673,0.07538937389513856,0.09229693154517532
3M CO,MMM,2016,4392000000.0,32906000000.0,2398000000.0,3385000000.0,22563000000.0,5050000000.0,30109000000.0,0.1534674527441804,0.00649181183550418,0.6856804230231569,0.07287424785753358,0.000699449563604294,0.47485148514851483,0.04489964825160356,1.0087130985874846,0.06418011707319483,0.05729417428984112,0.009054099836757673,0.03443205760637624,0.08059320488664681
3M CO,MMM,2017,4911000000.0,37987000000.0,,4034000000.0,26365000000.0,4858000000.0,31657000000.0,0.12788585568747202,-0.02558159705670837,0.6940532287361466,0.06556111121836329,0.15440953017686745,1.015786815414544,-0.03801980198019802,1.0634918795746275,0.051413198711348765,0.11816939890710383,0.06675620019575507,0.008372805712989706,-0.004835400841694464
3M CO,MMM,2018,5020000000.0,36500000000.0,,4366000000.0,26652000000.0,5349000000.0,32765000000.0,0.14654794520547945,0.018662089518007435,0.7301917808219178,0.06556111121836329,-0.03914497064785321,1.015786815414544,0.10107039934129271,0.9876279384520119,0.035000157942951006,0.02219507228670332,-0.012805085656247685,0.036138552085771214,-0.004835400841694464
3M CO,MMM,2019,4791000000.0,44659000000.0,,4134000000.0,34533000000.0,4517000000.0,32136000000.0,0.1011442262477888,-0.04540371895769066,0.7732595893324974,0.06556111121836329,0.22353424657534246,1.015786815414544,-0.15554309216676016,0.9730626597419136,-0.019197314207233328,-0.04561752988047809,-0.026420215673244762,0.043067808510579564,-0.004835400841694464
3M CO,MMM,2020,4705000000.0,47344000000.0,,4239000000.0,34413000000.0,5449000000.0,32184000000.0,0.11509378168300101,0.013949555435212216,0.7268714092598851,0.06556111121836329,0.060122259790859625,1.015786815414544,0.20633163604162055,0.9805850237153897,0.0014936519790888724,-0.017950323523272804,-0.019443975502361675,-0.04638818007261225,-0.004835400841694464
3M CO,MMM,2021,4660000000.0,47072000000.0,,4985000000.0,31955000000.0,5921000000.0,35355000000.0,0.12578602991162474,0.010692248228623732,0.6788536709721278,0.06556111121836329,-0.005745184183845894,1.015786815414544,0.08662139842172875,0.901603246620621,0.09852721849366144,-0.009564293304994687,-0.10809151179865613,-0.04801773828775735,-0.004835400841694464
3M CO,MMM,2022,4532000000.0,46455000000.0,,5372000000.0,31685000000.0,5777000000.0,26161000000.0,0.12435690453126681,-0.001429125380357929,0.6820579054999462,0.06556111121836329,-0.013107579877634262,1.015786815414544,-0.024320216179699376,1.3143180893880466,-0.2600480837222458,-0.027467811158798282,0.23258027256344752,0.0032042345278183726,-0.004835400841694464
3M CO,MMM,2023,3601000000.0,50580000000.0,,3944000000.0,45712000000.0,-6995000000.0,24610000000.0,-0.13829576907868724,-0.26265267360995403,0.9037564254646105,0.06556111121836329,0.08879560865353568,1.015786815414544,-2.210836074086896,0.8446483680275492,-0.05928672451358893,-0.20542806707855252,-0.14614134256496358,0.2216985199646644,-0.004835400841694464
3M CO,MMM,2024,3194000000.0,39868000000.0,,3698000000.0,35974000000.0,4173000000.0,24575000000.0,0.10467041236079061,0.24296618143947785,0.9023276813484499,0.06556111121836329,-0.211783313562673,1.015786815414544,1.5965689778413152,0.8882390813222167,-0.0014221861032100772,-0.1130241599555679,-0.11160197385235783,-0.001428744116160674,-0.004835400841694464
3M CO,MMM,2025,3533000000.0,37733000000.0,,3661000000.0,32986000000.0,3250000000.0,24948000000.0,0.0861315029284711,-0.018538909432319506,0.8741950017226301,0.06556111121836329,-0.053551720678238185,1.015786815414544,-0.22118380062305296,1.0895985503322176,0.015178026449643948,0.10613650594865373,0.09095847949900979,-0.02813267962581978,-0.004835400841694464
ABBOTT LABORATORIES,ABT,2011,7683920000.0,60277000000.0,6813000000.0,3284249000.0,,4728000000.0,,0.07843787846110457,0.0009191914784754049,0.6111211231054804,0.11302818653881248,0.05606823577699203,1.4409898477157361,0.10172088812950363,1.0087130985874846,0.06418011707319483,0.07509665906612471,0.009054099836757673,-0.0014369669271911967,-0.03459030807770792
ABBOTT LABORATORIES,ABT,2012,7613000000.0,67235000000.0,10802000000.0,3793000000.0,,5963000000.0,,0.08868892689819291,0.010251048437088336,0.6111211231054804,0.1606603703428274,0.11543374753222622,1.8115042763709541,0.2612098138747885,1.0087130985874846,0.06418011707319483,-0.009229664025653573,0.009054099836757673,-0.0014369669271911967,-0.07197144344463449
ABBOTT LABORATORIES,ABT,2013,3986000000.0,42937000000.0,3475000000.0,2693000000.0,,2576000000.0,,0.059994876213987934,-0.028694050684204976,0.6111211231054804,0.08093252905419568,-0.36138915743288463,1.3489906832298137,-0.5680026832131477,1.0087130985874846,0.06418011707319483,-0.47642190989097594,0.009054099836757673,-0.0014369669271911967,-0.020937652840207745
ABBOTT LABORATORIES,ABT,2014,3586000000.0,41207000000.0,4063000000.0,2643000000.0,,2284000000.0,,0.05542747591428641,-0.004567400299701527,0.6111211231054804,0.09859975246924066,-0.040291590003959286,1.7788966725043782,-0.11335403726708075,1.0087130985874846,0.06418011707319483,-0.10035122930255895,0.009054099836757673,-0.0014369669271911967,-0.04317227655495426
ABBOTT LABORATORIES,ABT,2015,3418000000.0,41247000000.0,5001000000.0,2599000000.0,,4423000000.0,,0.10723204111814193,0.05180456520385552,0.6111211231054804,0.1212451814677431,0.000970708860145121,1.130680533574497,0.9365148861646234,1.0087130985874846,0.06418011707319483,-0.046848856664807585,0.009054099836757673,-0.0014369669271911967,-0.014013140349601183
ABBOTT LABORATORIES,ABT,2016,3248000000.0,52666000000.0,18620000000.0,2434000000.0,,1400000000.0,20853000000.0,0.026582614969809744,-0.08064942614833218,0.6111211231054804,0.3535487790984696,0.2768443765607196,13.3,-0.6834727560479312,1.0087130985874846,0.06418011707319483,-0.0497366881217086,0.009054099836757673,-0.0014369669271911967,-0.32696616412865986
ABBOTT LABORATORIES,ABT,2017,5249000000.0,76250000000.0,9407000000.0,3601000000.0,,477000000.0,27390000000.0,0.006255737704918033,-0.020326877264891713,0.6111211231054804,0.12337049180327869,0.4478031367485664,19.72117400419287,-0.6592857142857143,1.2303737677984665,0.31348007480937995,0.6160714285714286,0.30259135376204865,-0.0014369669271911967,-0.11711475409836065
ABBOTT LABORATORIES,ABT,2018,5182000000.0,67173000000.0,3844000000.0,3796000000.0,,2368000000.0,30578000000.0,0.03525225909219478,0.02899652138727675,0.6111211231054804,0.05722537328986348,-0.11904262295081967,1.6233108108108107,3.9643605870020964,0.884308484374606,0.11639284410368747,-0.012764336064012193,-0.12915718016769967,-0.0014369669271911967,-0.021973114197668706
ABBOTT LABORATORIES,ABT,2019,5425000000.0,67887000000.0,3860000000.0,4316000000.0,,3687000000.0,31904000000.0,0.054310840072473374,0.019058580980278593,0.6111211231054804,0.056859192481623876,0.010629270689116163,1.0469216164903716,0.5570101351351351,1.0033819254947398,0.043364510432336974,0.04689309147047472,0.003528581038137746,-0.0014369669271911967,-0.0025483524091505
ABBOTT LABORATORIES,ABT,2020,6414000000.0,72548000000.0,6838000000.0,5012000000.0,,4495000000.0,34608000000.0,0.061958978882946464,0.00764813881047309,0.6111211231054804,0.0942548381761041,0.06865821143959816,1.521245828698554,0.21914835909953892,1.0899280952594004,0.08475426278836509,0.1823041474654378,0.0975498846770727,-0.0014369669271911967,-0.03229585929315763
ABBOTT LABORATORIES,ABT,2021,6487000000.0,75196000000.0,9799000000.0,5157000000.0,,7071000000.0,43075000000.0,0.0940342571413373,0.032075278258390835,0.6111211231054804,0.13031278259481888,0.03649997243204499,1.3858011596662423,0.5730812013348164,0.8125800551282463,0.2446544151641239,0.011381353289678828,-0.23327306187444508,-0.0014369669271911967,-0.03627852545348157
ABBOTT LABORATORIES,ABT,2022,6218000000.0,74438000000.0,9882000000.0,6173000000.0,,6933000000.0,43653000000.0,0.09313791343131196,-0.000896343710025338,0.6111211231054804,0.13275477578656064,-0.010080323421458589,1.425356988316746,-0.01951633432329232,0.9458407271627003,0.013418456181079513,-0.041467550485586556,-0.05488600666666607,-0.0014369669271911967,-0.039616862355248667
ABBOTT LABORATORIES,ABT,2023,6565000000.0,73214000000.0,6896000000.0,6570000000.0,,5723000000.0,40109000000.0,0.07816810992433142,-0.014969803506980545,0.6111211231054804,0.09418963586199361,-0.016443214487224266,1.2049624322907566,-0.1745276215202654,1.1490958968589302,-0.08118571461297047,0.05580572531360566,0.13699143992657614,-0.0014369669271911967,-0.016021525937662196
ABBOTT LABORATORIES,ABT,2024,6925000000.0,81414000000.0,7616000000.0,6194000000.0,,13402000000.0,41950000000.0,0.1646154224089223,0.08644731248459088,0.6111211231054804,0.09354656447294077,0.11200043707487639,0.5682733920310401,1.3417787873492923,1.0085441541311921,0.04589992271061358,0.05483625285605483,0.008936330145441256,-0.0014369669271911967,0.07106885793598153
ABBOTT LABORATORIES,ABT,2025,7929000000.0,86713000000.0,8522000000.0,6488000000.0,,6524000000.0,44328000000.0,0.07523670037941255,-0.08937872202950975,0.6111211231054804,0.09827822817801253,0.06508708575920603,1.3062538320049049,-0.513206984032234,1.0835587615002569,0.0566865315852205,0.14498194945848375,0.08829541787326325,-0.0014369669271911967,-0.02304152779859998
ADOBE INC.,ADBE,2008,467234000.0,5821598000.0,886450000.0,,1411244000.0,871814000.0,3579889000.0,0.14975510160612257,0.0009191914784754049,0.24241522688443964,0.15226918794461589,0.05606823577699203,1.0167879845930439,0.10172088812950363,1.0087130985874846,0.06418011707319483,0.07509665906612471,0.009054099836757673,-0.0014369669271911967,-0.002514086338493314
ADOBE INC.,ADBE,2009,410879000.0,7282237000.0,999487000.0,,2391669000.0,386508000.0,2945853000.0,0.05307544920606127,-0.0966796524000613,0.32842504301906134,0.13724999612069752,0.25090001061564193,2.5859413000507105,-0.5566623155856639,1.0686561666587782,-0.17711051934850494,-0.12061408202314045,0.056496437325364496,0.08600981613462169,-0.08417454691463626
ADOBE INC.,ADBE,2010,554328000.0,8141148000.0,749891000.0,,2948761000.0,774680000.0,3800000000.0,0.09515611311819905,0.04208066391213778,0.3622045686922778,0.09211121085134431,0.11794603773538269,0.9680009810502401,1.0043052148985274,1.0458763578776746,0.28994895536199533,0.3491271152821147,0.05917815992011938,0.03377952567321646,0.0030449022668547483
ADOBE INC.,ADBE,2011,634373000.0,8991183000.0,989500000.0,,3208070000.0,832847000.0,4216258000.0,0.09262930139448836,-0.0025268117237106924,0.3568017690219407,0.11005225897415279,0.10441217872467126,1.1880933712914856,0.07508519646821914,1.0314170177131985,0.10954157894736842,0.14440006638668804,0.034858487439319616,-0.005402799670337077,-0.017422957579664434
ADOBE INC.,ADBE,2012,617233000.0,10040229000.0,1425052000.0,,3375047000.0,832775000.0,4403677000.0,0.08294382528525993,-0.00968547610922843,0.33615239254005064,0.14193421285510519,0.11667496924487022,1.7112089099696797,-8.64504524840697e-05,0.9315714458218134,0.04445150178191183,-0.02701880439426016,-0.07147030617617199,-0.02064937648189008,-0.058990387569845266
ADOBE INC.,ADBE,2013,599820000.0,10380298000.0,834556000.0,,3655664000.0,289985000.0,4055240000.0,0.027936095861602433,-0.05500772942365749,0.35217331910895044,0.0803980772035639,0.033870641795122405,2.877928168698381,-0.65178469574615,1.0552872720295177,-0.07912410469705203,-0.028211388568012405,0.05091271612903962,0.016020926568899807,-0.05246198134196147
ADOBE INC.,ADBE,2014,591800000.0,10785829000.0,1117400000.0,,4009924000.0,268395000.0,4147065000.0,0.024884039975045034,-0.0030520558865573984,0.37177707898020634,0.10359889814681839,0.03906737552235976,4.163266826878295,-0.07445212683414659,0.9647832122897394,0.022643542675649282,-0.013370677870027674,-0.036014220545676955,0.0196037598712559,-0.07871485817177336
ADOBE INC.,ADBE,2015,672006000.0,11726472000.0,876560000.0,,4724892000.0,629551000.0,4795511000.0,0.05368630906209472,0.028802269087049685,0.40292527880508305,0.07475053025325946,0.08721100621936431,1.3923574102812957,1.3456137409415228,0.9819833874879477,0.15636263236771067,0.13552889489692463,-0.02083373747078604,0.03114819982487671,-0.02106422119116474
ADOBE INC.,ADBE,2016,833033000.0,12697246000.0,1011315000.0,,5272411000.0,1168782000.0,5854430000.0,0.09205003982753425,0.03836373076543953,0.4152405175106476,0.07964837414349536,0.08278483076580918,0.8652725657992679,0.8565326716977656,1.0154050739892075,0.22081463268460857,0.23962137242822237,0.0188067397436138,0.012315238705564557,0.012401665684038886
ADOBE INC.,ADBE,2017,1217968000.0,14535556000.0,2306000000.0,,6075687000.0,1693954000.0,7301505000.0,0.11653864496136233,0.024488605133828084,0.41798793248775623,0.1586454622031658,0.1447802145441618,1.3613120545185997,0.44933272415215153,1.1723192673240797,0.24717607008709644,0.4620885367086298,0.21491246662153338,0.00274741497710862,-0.04210681724180348
ADOBE INC.,ADBE,2018,1315578000.0,18768682000.0,1643000000.0,,9406568000.0,2591000000.0,9030000000.0,0.13804911820659543,0.0215104732452331,0.5011842600348815,0.08753944469835442,0.2912255988006238,0.6341181011192589,0.5295574732253651,0.8733842599113832,0.23673133141729,0.08014167859910934,-0.15658965281818066,0.08319632754712525,0.05050967350824102
ADOBE INC.,ADBE,2019,1535000000.0,20762000000.0,2650000000.0,,10232000000.0,2951000000.0,11171000000.0,0.14213466910702244,0.004085550900427004,0.4928234274154706,0.1276370291879395,0.10620447402753161,0.8980006777363606,0.13894249324585103,0.9431645654465559,0.23709856035437432,0.16678752609119338,-0.07031103426318094,-0.008360832619410896,0.01449763991908294
ADOBE INC.,ADBE,2020,1398000000.0,24284000000.0,4478000000.0,,11020000000.0,5260000000.0,12868000000.0,0.2166035249547027,0.07446885584768026,0.4537967385933125,0.184401251853072,0.1696368365282728,0.8513307984790874,0.7824466282616063,0.7906418365786806,0.151911198639334,-0.08925081433224756,-0.24116201297158157,-0.039026688822158095,0.0322022731016307
ADOBE INC.,ADBE,2021,1878000000.0,27241000000.0,3844000000.0,,12444000000.0,4822000000.0,15785000000.0,0.1770125913145626,-0.0395909336401401,0.4568114239565361,0.14111082559377408,0.12176741887662658,0.7971795935296557,-0.08326996197718631,1.0951027826983024,0.22668635374572582,0.34334763948497854,0.11666128573925272,0.003014685363223635,0.035901765720788514
ADOBE INC.,ADBE,2022,2065000000.0,27165000000.0,4236000000.0,,13114000000.0,4756000000.0,17606000000.0,0.17507822565801584,-0.0019343656565467549,0.4827535431621572,0.15593594699061292,-0.0027899122646011525,0.8906644238856182,-0.013687266694317711,0.9858443613169438,0.11536268609439342,0.09957401490947816,-0.015788671184915254,0.02594211920562106,0.01914227866740291
ADOBE INC.,ADBE,2023,2224000000.0,29779000000.0,7141000000.0,,13261000000.0,5428000000.0,19409000000.0,0.18227610060781088,0.007197874949795041,0.4453138117465328,0.2397998589610128,0.09622676237806001,1.3155858511422256,0.14129520605550883,0.976949836182186,0.10240826990798592,0.07699757869249395,-0.02541069121549197,-0.0374397314156244,-0.05752375835320192
ADOBE INC.,ADBE,2024,2072000000.0,30230000000.0,7613000000.0,,16125000000.0,5560000000.0,21505000000.0,0.18392325504465762,0.0016471544368467372,0.5334105193516374,0.25183592457823356,0.015144900768998288,1.3692446043165467,0.02431834929992631,0.8408502958154286,0.10799113813179453,-0.0683453237410072,-0.17633646187280172,0.08809670760510463,-0.06791266953357591
ADOBE INC.,ADBE,2025,2344000000.0,29496000000.0,5431000000.0,,17873000000.0,7130000000.0,23769000000.0,0.2417276918904258,0.05780443684576819,0.6059465690263086,0.18412666124220234,-0.024280516043665233,0.761711079943899,0.2823741007194245,1.023520139385342,0.10527784236224134,0.13127413127413126,0.025996288911889917,0.0725360496746712,0.057601030648223486
ADVANCED MICRO DEVICES INC,AMD,2010,968000000.0,4964000000.0,606000000.0,632000000.0,,471000000.0,,0.09488315874294924,0.0009191914784754049,0.6111211231054804,0.12207896857373086,0.05606823577699203,1.286624203821656,0.10172088812950363,1.0087130985874846,0.06418011707319483,0.07509665906612471,0.009054099836757673,-0.0014369669271911967,-0.02719580983078163
ADVANCED MICRO DEVICES INC,AMD,2011,919000000.0,4954000000.0,869000000.0,476000000.0,,491000000.0,,0.09911182882519176,0.004228670082242522,0.6111211231054804,0.17541380702462656,-0.00201450443190975,1.769857433808554,0.04246284501061571,1.0087130985874846,0.06418011707319483,-0.0506198347107438,0.009054099836757673,-0.0014369669271911967,-0.0763019781994348
ADVANCED MICRO DEVICES INC,AMD,2012,630000000.0,4000000000.0,549000000.0,562000000.0,,-1183000000.0,,-0.29575,-0.3948618288251918,0.6111211231054804,0.13725,-0.1925716592652402,0.4640743871513102,-3.409368635437882,1.0087130985874846,0.06418011707319483,-0.3144722524483134,0.009054099836757673,-0.0014369669271911967,-0.433
ADVANCED MICRO DEVICES INC,AMD,2013,832000000.0,4337000000.0,869000000.0,884000000.0,,-83000000.0,,-0.01913765275536085,0.2766123472446392,0.6111211231054804,0.20036891860733225,0.08425,10.46987951807229,0.9298393913778529,1.0087130985874846,0.06418011707319483,0.32063492063492066,0.009054099836757673,-0.0014369669271911967,-0.2195065713626931
ADVANCED MICRO DEVICES INC,AMD,2014,818000000.0,3767000000.0,805000000.0,685000000.0,,-403000000.0,,-0.1069816830368994,-0.08784403028153855,0.6111211231054804,0.2136979028404566,-0.13142725386211668,1.9975186104218363,-3.855421686746988,1.0087130985874846,0.06418011707319483,-0.016826923076923076,0.009054099836757673,-0.0014369669271911967,-0.320679585877356
ADVANCED MICRO DEVICES INC,AMD,2015,533000000.0,3084000000.0,785000000.0,678000000.0,,-660000000.0,,-0.2140077821011673,-0.10702609906426791,0.6111211231054804,0.25453955901426717,-0.18131138837271038,1.1893939393939394,-0.6377171215880894,1.0087130985874846,0.06418011707319483,-0.3484107579462103,0.009054099836757673,-0.0014369669271911967,-0.4685473411154345
ADVANCED MICRO DEVICES INC,AMD,2016,372000000.0,3321000000.0,1264000000.0,691000000.0,,-498000000.0,4319000000.0,-0.14995483288166214,0.06405294921950516,0.6111211231054804,0.3806082505269497,0.07684824902723736,2.538152610441767,0.24545454545454545,1.0087130985874846,0.06418011707319483,-0.30206378986866794,0.009054099836757673,-0.0014369669271911967,-0.5305630834086119
ADVANCED MICRO DEVICES INC,AMD,2017,454000000.0,3552000000.0,1185000000.0,694000000.0,,-33000000.0,5253000000.0,-0.009290540540540541,0.1406642923411216,0.6111211231054804,0.33361486486486486,0.06955736224028906,35.90909090909091,0.9337349397590361,1.0034337777286506,0.2162537624450104,0.22043010752688172,0.004176345081871313,-0.0014369669271911967,-0.34290540540540543
ADVANCED MICRO DEVICES INC,AMD,2018,1235000000.0,4556000000.0,1078000000.0,845000000.0,,337000000.0,6475000000.0,0.07396839332748024,0.08325893386802079,0.6111211231054804,0.23661106233538193,0.28265765765765766,3.198813056379822,11.212121212121213,2.2068800707567227,0.23262897391966494,1.7202643171806167,1.4876353432609517,-0.0014369669271911967,-0.16264266900790167
ADVANCED MICRO DEVICES INC,AMD,2019,1859000000.0,6028000000.0,1466000000.0,982000000.0,,341000000.0,6731000000.0,0.05656934306569343,-0.017399050261786814,0.6111211231054804,0.24319840743198406,0.3230904302019315,4.299120234604105,0.011869436201780416,1.4480135117171922,0.03953667953667954,0.5052631578947369,0.4657264783580573,-0.0014369669271911967,-0.18662906436629065
ADVANCED MICRO DEVICES INC,AMD,2020,2066000000.0,8962000000.0,1595000000.0,1399000000.0,,2490000000.0,9763000000.0,0.2778397679089489,0.22127042484325543,0.6111211231054804,0.1779736665922785,0.486728599867286,0.6405622489959839,6.302052785923753,0.7662089641777474,0.45045312732134896,0.11135018827326519,-0.33910293904808375,-0.0014369669271911967,0.09986610131667038
ADVANCED MICRO DEVICES INC,AMD,2021,2706000000.0,12419000000.0,2535000000.0,1955000000.0,,3162000000.0,16434000000.0,0.254609871970368,-0.02322989593858088,0.6111211231054804,0.2041227151944601,0.3857397902253961,0.801707779886148,0.26987951807228916,0.7781037023213863,0.683294069445867,0.30977734753146174,-0.37351672191440527,-0.0014369669271911967,0.050487156775907885
ADVANCED MICRO DEVICES INC,AMD,2022,4126000000.0,67580000000.0,4835000000.0,3771000000.0,,1320000000.0,23601000000.0,0.01953240603728914,-0.23507746593307885,0.6111211231054804,0.07154483575022196,4.441661969562767,3.662878787878788,-0.5825426944971537,1.061730538495165,0.43610806863818913,0.524759793052476,0.08865172441428687,-0.0014369669271911967,-0.05201242971293282
ADVANCED MICRO DEVICES INC,AMD,2023,4323000000.0,67885000000.0,3933000000.0,4351000000.0,,854000000.0,22680000000.0,0.012580098696324666,-0.006952307340964473,0.6111211231054804,0.05793621565883479,0.004513169576797869,4.605386416861827,-0.353030303030303,1.0902933584162378,-0.03902377017922969,0.04774600096946195,0.08676977114869164,-0.0014369669271911967,-0.04535611696251013
ADVANCED MICRO DEVICES INC,AMD,2024,6192000000.0,69226000000.0,3787000000.0,5734000000.0,,1641000000.0,25785000000.0,0.02370496634212579,0.011124867645801124,0.6111211231054804,0.054704879669488345,0.019753995728069528,2.307739183424741,0.9215456674473068,1.2598580828467723,0.13690476190476192,0.4323386537126995,0.2954338918079376,-0.0014369669271911967,-0.03099991332736255
ADVANCED MICRO DEVICES INC,AMD,2025,6315000000.0,76926000000.0,5539000000.0,7920000000.0,,4335000000.0,34639000000.0,0.056352858591373525,0.03264789224924773,0.6111211231054804,0.07200426383797416,0.11122988472539219,1.2777393310265284,1.6416819012797075,0.7591790188770958,0.34337793290672874,0.01986434108527132,-0.32351359182145745,-0.0014369669271911967,-0.01565140524660063
