company,ticker,year,AccountsReceivableNetCurrent,Assets,CashAndCashEquivalentsAtCarryingValue,InventoryNet,Liabilities,NetIncomeLoss,Revenues
3M CO,MMM,2006,,,1447000000.0,,,,
3M CO,MMM,2007,,,1896000000.0,,,4096000000.0,
3M CO,MMM,2008,3195000000.0,25793000000.0,1849000000.0,3013000000.0,15489000000.0,3460000000.0,
3M CO,MMM,2009,3250000000.0,27250000000.0,3040000000.0,2639000000.0,13948000000.0,3193000000.0,
3M CO,MMM,2010,3615000000.0,30156000000.0,3377000000.0,3155000000.0,14139000000.0,4085000000.0,
3M CO,MMM,2011,3867000000.0,31616000000.0,2219000000.0,3416000000.0,15754000000.0,4283000000.0,
3M CO,MMM,2012,4061000000.0,33876000000.0,2883000000.0,3837000000.0,15836000000.0,4444000000.0,
3M CO,MMM,2013,4253000000.0,33304000000.0,2581000000.0,3864000000.0,15602000000.0,4659000000.0,
3M CO,MMM,2014,4238000000.0,31374000000.0,1897000000.0,3706000000.0,18067000000.0,4956000000.0,
3M CO,MMM,2015,4154000000.0,32883000000.0,1798000000.0,3518000000.0,21415000000.0,4833000000.0,
3M CO,MMM,2016,4392000000.0,32906000000.0,2398000000.0,3385000000.0,22563000000.0,5050000000.0,30109000000.0
3M CO,MMM,2017,4911000000.0,37987000000.0,,4034000000.0,26365000000.0,4858000000.0,31657000000.0
3M CO,MMM,2018,5020000000.0,36500000000.0,,4366000000.0,26652000000.0,5349000000.0,32765000000.0
3M CO,MMM,2019,4791000000.0,44659000000.0,,4134000000.0,34533000000.0,4517000000.0,32136000000.0
3M CO,MMM,2020,4705000000.0,47344000000.0,,4239000000.0,34413000000.0,5449000000.0,32184000000.0
3M CO,MMM,2021,4660000000.0,47072000000.0,,4985000000.0,31955000000.0,5921000000.0,35355000000.0
3M CO,MMM,2022,4532000000.0,46455000000.0,,5372000000.0,31685000000.0,5777000000.0,26161000000.0
3M CO,MMM,2023,3601000000.0,50580000000.0,,3944000000.0,45712000000.0,-6995000000.0,24610000000.0
3M CO,MMM,2024,3194000000.0,39868000000.0,,3698000000.0,35974000000.0,4173000000.0,24575000000.0
3M CO,MMM,2025,3533000000.0,37733000000.0,,3661000000.0,32986000000.0,3250000000.0,24948000000.0
ABBOTT LABORATORIES,ABT,2006,,,521192000.0,,,,
ABBOTT LABORATORIES,ABT,2007,4946876000.0,39713924000.0,2456384000.0,2951442000.0,,,
