company,ticker,year,AccountsReceivableNetCurrent,Assets,CashAndCashEquivalentsAtCarryingValue,InventoryNet,Liabilities,NetIncomeLoss,Revenues,dsri,aqi,sgi,lvgi,accruals,cash_profit_gap,rev_growth,recv_growth,rev_recv_divergence,is_fraud
3M CO,MMM,2008,3195000000.0,25793000000.0,1849000000.0,3013000000.0,15489000000.0,3460000000.0,,,,,,0.0624588066529678,0.534393063583815,,,,0
3M CO,MMM,2009,3250000000.0,27250000000.0,3040000000.0,2639000000.0,13948000000.0,3193000000.0,,,0.9777522997852292,,0.8523616677357888,0.0056146788990825,0.9520826808643909,,0.0172143974960876,,0
3M CO,MMM,2010,3615000000.0,30156000000.0,3377000000.0,3155000000.0,14139000000.0,4085000000.0,,,0.986890529742401,,0.9160085507754284,0.0234779148428173,0.8266829865361077,,0.1123076923076923,,0
3M CO,MMM,2011,3867000000.0,31616000000.0,2219000000.0,3416000000.0,15754000000.0,4283000000.0,,,1.0541653396659765,,1.0627691968377586,0.0652834008097166,0.5180947933691338,,0.0697095435684647,,0
3M CO,MMM,2012,4061000000.0,33876000000.0,2883000000.0,3837000000.0,15836000000.0,4444000000.0,,,0.9746876427415114,,0.9381438818912452,0.0460798205219034,0.6487398739873987,,0.0501680889578484,,0
3M CO,MMM,2013,4253000000.0,33304000000.0,2581000000.0,3864000000.0,15602000000.0,4659000000.0,,,0.9956380441374252,,1.0021448680345146,0.0623949075186163,0.553981541103241,,0.0472789953213494,,0
3M CO,MMM,2014,4238000000.0,31374000000.0,1897000000.0,3706000000.0,18067000000.0,4956000000.0,,,1.0111307608592153,,1.2292275255503633,0.0975011155734047,0.3827683615819209,,-0.003526922172584,,0
3M CO,MMM,2015,4154000000.0,32883000000.0,1798000000.0,3518000000.0,21415000000.0,4833000000.0,,,1.037411324453074,,1.130916378844638,0.0922969315451753,0.3720256569418581,,-0.0198206701274185,,0
3M CO,MMM,2016,4392000000.0,32906000000.0,2398000000.0,3385000000.0,22563000000.0,5050000000.0,30109000000.0,,0.9701922831280452,,1.0528708545538394,0.0805932048866468,0.4748514851485148,,0.0572941742898411,,0
3M CO,MMM,2017,4911000000.0,37987000000.0,,4034000000.0,26365000000.0,4858000000.0,31657000000.0,1.0634918795746275,1.106746292276032,1.0514131987113489,1.0122109446789718,,,0.0514131987113487,0.1181693989071038,0.066756200195755,0
