company,ticker,year,AccountsReceivableNetCurrent,Assets,CashAndCashEquivalentsAtCarryingValue,InventoryNet,Liabilities,NetIncomeLoss,Revenues,roa,roa_change,leverage,cash_to_assets,asset_growth,cash_profit_ratio,income_change,dsri,rev_growth,recv_growth,rev_recv_divergence,leverage_change,accruals,is_fraud,fraud_score
3M CO,MMM,2008,3195000000.0,25793000000.0,1849000000.0,3013000000.0,15489000000.0,3460000000.0,,0.1341449230411351,0.0009191914784754,0.6005117667584229,0.0716861163881673,0.056068235776992,0.534393063583815,0.1017208881295036,1.0087130985874846,0.0641801170731948,0.0750966590661247,0.0090540998367576,-0.0014369669271911,0.0624588066529678,0,0.0002997798
3M CO,MMM,2009,3250000000.0,27250000000.0,3040000000.0,2639000000.0,13948000000.0,3193000000.0,,0.1171743119266055,-0.0169706111145296,0.5118532110091744,0.1115596330275229,0.0564881944713682,0.9520826808643909,-0.0771676300578034,1.0087130985874846,0.0641801170731948,0.0172143974960876,0.0090540998367576,-0.0886585557492485,0.0056146788990825,0,1.604509e-05
3M CO,MMM,2010,3615000000.0,30156000000.0,3377000000.0,3155000000.0,14139000000.0,4085000000.0,,0.1354622628995888,0.0182879509729832,0.4688619180262634,0.1119843480567714,0.1066422018348623,0.8266829865361077,0.2793611024115252,1.0087130985874846,0.0641801170731948,0.1123076923076923,0.0090540998367576,-0.0429912929829109,0.0234779148428173,0,0.00021455056
3M CO,MMM,2011,3867000000.0,31616000000.0,2219000000.0,3416000000.0,15754000000.0,4283000000.0,,0.1354693825910931,7.119691504325898e-06,0.498292004048583,0.0701859817813765,0.0484149091391431,0.5180947933691338,0.048470012239902,1.0087130985874846,0.0641801170731948,0.0697095435684647,0.0090540998367576,0.0294300860223195,0.0652834008097166,0,0.00044621775
3M CO,MMM,2012,4061000000.0,33876000000.0,2883000000.0,3837000000.0,15836000000.0,4444000000.0,,0.1311843192820876,-0.0042850633090054,0.4674695949935057,0.0851044987601842,0.0714827935222672,0.6487398739873987,0.0375904739668456,1.0087130985874846,0.0641801170731948,0.0501680889578484,0.0090540998367576,-0.0308224090550772,0.0460798205219034,0,0.00017516372
3M CO,MMM,2013,4253000000.0,33304000000.0,2581000000.0,3864000000.0,15602000000.0,4659000000.0,,0.1398931059332212,0.0087087866511336,0.4684722555849147,0.0774981984146048,-0.0168851104026449,0.553981541103241,0.0483798379837983,1.0087130985874846,0.0641801170731948,0.0472789953213494,0.0090540998367576,0.001002660591409,0.0623949075186163,0,0.00012629754
3M CO,MMM,2014,4238000000.0,31374000000.0,1897000000.0,3706000000.0,18067000000.0,4956000000.0,,0.1579651941097724,0.0180720881765511,0.5758589915216421,0.0604640785363676,-0.0579509968772519,0.3827683615819209,0.0637475853187379,1.0087130985874846,0.0641801170731948,-0.003526922172584,0.0090540998367576,0.1073867359367273,0.0975011155734047,0,0.00010613405
3M CO,MMM,2015,4154000000.0,32883000000.0,1798000000.0,3518000000.0,21415000000.0,4833000000.0,,0.1469756409086762,-0.0109895532010962,0.6512483654167807,0.0546787093635008,0.048097150506789,0.3720256569418581,-0.024818401937046,1.0087130985874846,0.0641801170731948,-0.0198206701274185,0.0090540998367576,0.0753893738951385,0.0922969315451753,0,2.4300332e-05
3M CO,MMM,2016,4392000000.0,32906000000.0,2398000000.0,3385000000.0,22563000000.0,5050000000.0,30109000000.0,0.1534674527441804,0.0064918118355041,0.6856804230231569,0.0728742478575335,0.0006994495636042,0.4748514851485148,0.0448996482516035,1.0087130985874846,0.0641801170731948,0.0572941742898411,0.0090540998367576,0.0344320576063762,0.0805932048866468,0,3.4735072e-05
3M CO,MMM,2017,4911000000.0,37987000000.0,,4034000000.0,26365000000.0,4858000000.0,31657000000.0,0.127885855687472,-0.0255815970567083,0.6940532287361466,0.0655611112183632,0.1544095301768674,1.015786815414544,-0.038019801980198,1.0634918795746275,0.0514131987113487,0.1181693989071038,0.066756200195755,0.0083728057129897,-0.0048354008416944,0,0.00039018446
